露影藏形	lù yǐng cáng xíng
遗形忘性	yí xíng wàng xìng
九年之储	jiǔ nián zhī chǔ
衣锦夜游	yì jǐn yè yóu
去食存信	qù shí cún xìn
防心摄行	fáng xīn shè xíng
垂首丧气	chuí shǒu sàng qì
尊己卑人	zūn jǐ bēi rén
守望相助	shǒu wàng xiāng zhù
咫尺之书	zhǐ chǐ zhī shū
雄才大略	xióng cái dà lüè
惊魂动魄	jīng hún dòng pò
星飞电急	xīng fēi diàn jí
本末源流	běn mò yuán liú
烽鼓不息	fēng gǔ bù xī
白浪掀天	bái làng xiān tiān
格格不吐	gē gē bù tǔ
三毛七孔	sān máo qī kǒng
驷之过隙	sì zhī guò xì
无头告示	wú tóu gào shì
鸦雀无闻	yā què wú wén
堂堂正正	táng táng zhèng zhèng
正正堂堂	zhèng zhèng táng táng
才华盖世	cái huá gài shì
独霸一方	dú bà yī fāng
笔翰如流	bǐ hàn rú liú
拈花弄月	niān huā nòng yuè
身名俱泰	shēn míng jù tai
离奇古怪	lí qí gǔ guài
奇离古怪	qí lí gǔ guài
心闲手敏	xīn xián shǒu mǐn
急流勇进	jí liú yǒng jìn
千恩万谢	qiān ēn wàn xiè
高自标置	gāo zì biāo zhì
目定口呆	mù dìng kǒu dāi
至再至三	zhì zài zhì sān
乐尽悲来	lè jìn bēi lái
尾大难掉	wěi dà nán diào
滔滔不断	tāo tāo bù duàn
背恩负义	bèi ēn fù yì
背义负恩	bèi yù fù ēn
负恩背义	fù ēn bèi yì
颐神养气	yí shén yǎng qì
移风易尚	yí fēng yì shàng
民和年丰	mín hé nián fēng
云集景从	yún jí jǐng cóng
逾山越海	yú shān yuè hǎi
深惟重虑	shēn wéi zhòng lǜ
狐兔之悲	hú tù zhī bēi
全力以赴	quán lì yǐ fù
香象绝流	xiāng xiàng jué liú
面面相觑	miàn miàn xiāng qù
如水赴壑	rú shǔ fù hè
迥乎不同	jiǒng hū bù tóng
通首至尾	tōng shǒu zhì wěi
好逸恶劳	hào yì wù láo
堆金积玉	duī jīn jī yù
积玉堆金	jī yù duī jīn
计研心算	jì yán xīn suàn
功名利禄	gōng míng lì lù
弃暗投明	qì àn tóu míng
弃明投暗	qì míng tóu àn
守正不桡	shǒu zhèng bù ráo
同船合命	tóng chuán hé mìng
负俗之讥	fù sú zhī jī
心悦神怡	xīn yuè shén yí
草草收兵	cǎo cǎo shōu bīng
剖心析肝	pōu xīn xī gān
杜门面壁	dù mén mian bì
太上忘情	tài shàng wàng qíng
十鼠同穴	shí shǔ tóng xué
物极必反	wù jí bì fǎn
遗训余风	yí xùn yú fēng
了如指掌	liǎo rú zhǐ zhǎng
多谋善虑	duō móu shàn lǜ
十转九空	shí zhuǎn jiǔ kōng
诸色人等	zhū sè rén děng
大寒索裘	dà hán suǒ qiú
逆天违理	nì tiān wéi lǐ
违天逆理	wéi tiān nì lǐ
凤毛济美	fèng máo jì měi
辩口利辞	biàn kǒu lì cí
毋望之祸	wú wàng zhī huò
月章星句	yuè zhāng xīng jù
敲冰求火	qiāo bīng qiú huǒ
钻冰求火	zuān bīng qiú huǒ
异闻传说	yì wén chuán shuō
椎心泣血	chuí xīn qì xuè
劫后余生	jié hòu yú shēng
文君新寡	wén jūn xīn guǎ
臭名远扬	chòu míng yuǎn yáng
斗转星移	dǒu zhuǎn xīng yí
星移斗转	xīng yí dǒu zhuǎn
八面受敌	bā miàn shòu dí
见善必迁	jiàn shàn bì qiān
来者可追	lái zhě kě zhuī
璧合珠连	bì hé zhū lián
连珠合璧	lián zhū hé bì
珠连璧合	zhū lián bì hé
鸡豚之息	jī tún zhī xī
粗枝大叶	cū zhī dà yè
耳红面赤	ěr hóng miàn chì
面红耳赤	miàn hóng ěr chì
入幕之宾	rù mù zhī bīn
鬼计多端	guǐ jì duō duān
心殒胆破	xīn yǔn dǎn pò
迁延时日	qiān yán shí rì
耳提面命	ěr tí miàn mìng
面命耳提	miàn mìng ěr tí
日诵五车	rì sòng wǔ chē
人存政举	rén cún zhèng jǔ
千姿百态	qiān zī bǎi tài
八面张罗	bā miàn zhāng luo
诛求无厌	zhū qiú wú yàn
溢于言外	yì yú yán wài
千仞无枝	qiān rèn wú zhī
位卑言高	wèi bēi yán gāo
骨肉至亲	gǔ ròu zhì qīn
至亲骨肉	zhì qīn gǔ ròu
鼓舌扬唇	gǔ shé yáng chún
神灭形消	shén miè xíng xiāo
屈打成招	qū dǎ chéng zhāo
达权知变	dá quán zhī biàn
词穷理极	cí qióng lǐ jí
朝朝暮暮	zhāo zhāo mù mù
暮暮朝朝	mù mù zhāo zhāo
匹夫无罪	pǐ fū wú zuì
河清云庆	hé qīng yún qìng
差三错四	chā sān cuò sì
不啻天渊	bù chì tiān yuān
背信弃义	bèi xìn qì yì
执迷不悟	zhí mí bù wù
听人穿鼻	tīng rén chuān bí
芝草无根	zhi cao wu geng
得失参半	dé shī cān bàn
从长计较	cóng cháng jì jiào
豺狼野心	chái láng yě xīn
断木掘地	duàn mù jué dì
下车泣罪	xià chē qì zuì
寝丘之志	qǐn qiū zhī zhì
龙翔凤舞	lóng xiáng fèng wǔ
枝附影从	zhī fù yǐng cóng
借剑杀人	jiè jiàn shā rén
为虎添翼	wèi hǔ tiān yì
若卵投石	ruò luǎn tóu shí
学富五车	xué fù wǔ chē
巧夺天工	qiǎo duó tiān gōng
庸言庸行	yōng yán yōng xíng
顾影自怜	gù yǐng zì lián
入乡随俗	rù xiāng suí sú
随乡入俗	suí xiāng rù sú
度德量力	duó dé liàng lì
量力度德	liàng lì duó dé
全身远害	quán shēn yuǎn hài
心劳意冗	xīn láo yì rǒng
燕语莺声	yàn yǔ yīng shēng
莺声燕语	yīng shēng yàn yǔ
河东三箧	hé dōng sān qiè
足踏实地	zú tà shí dì
针芥之投	zhēn jiè zhī tóu
约定俗成	yuè dìng sú chéng
自吹自捧	zì chuī zì pěng
霸道横行	bà dào héng xíng
横行霸道	héng xíng bà dào
旁门左道	páng mén zuǒ dào
左道旁门	zuǒ dào páng mén
各从其志	gè cóng qí zhì
风中秉烛	fēng zhōng bǐng zhú
遁世离群	dùn shì lí qún
变幻不测	biàn huà bù cè
地塌天荒	dì tā tiān huāng
燕子衔食	yàn zǐ xián shí
以冠补履	yǐ guān bǔ lǚ
倍道兼行	bèi dào jiān xíng
博采众长	bó cǎi zhòng cháng
轻财好士	qīng cái hǎo shì
狼烟大话	láng yān dà huà
各自为政	gè zì wéi zhèng
拉家带口	lā jiā dài kǒu
顺风使船	shǔn fēng shǐ chuán
见卵求鸡	jiàn luǎn qiú jī
切中时弊	qiè zhòng shí bì
坐吃山空	zuò chī shān kōng
伤心蒿目	shāng xīn hāo mù
蜂出泉流	fēng chū quán liú
一鞭先著	yī biān xiān zhuó
楚歌四合	chǔ gē sì hé
多口阿师	duō kǒu ā shī
一式一样	yī shì yī yàng
抉目悬门	jué mù xuán mén
悬门抉目	xuán mén jué mù
枯木再生	kū mù zài shēng
一反既往	yī fǎn jì wǎng
戛玉鸣金	jiá yù míng jīn
扶摇万里	fú yáo wàn lǐ
贼头鼠脑	zéi tóu shǔ nǎo
三怨成府	sān yuàn chéng fǔ
三差五错	sān chā wǔ cuò
花明柳媚	huā míng liǔ mèi
吴带当风	wú dài dāng fēng
踵武相接	zhǒng wǔ xiāng jiē
直认不讳	zhí rèn bù huì
挥汗成雨	huī hàn chéng yǔ
改头换尾	gǎi tóu huàn wěi
牙牙学语	yá yá xué yǔ
白白朱朱	bái bái zhū zhū
破脑刳心	pò nǎo kū xīn
金谷酒数	jīn gǔ jiǔ shù
贫嘴恶舌	pín zuǐ è shé
与世推移	yǔ shì tuī yí
易如翻掌	yì rú fān zhǎng
破家荡业	pò jiā dàng yè
东南半壁	dōng nán bàn bì
苟安一隅	gǒu ān yī yú
百凡待举	bǎi fán dài jǔ
恍然若失	huǎng rán ruò shī
以玉抵乌	yǐ yù dǐ wū
齿过肩随	chǐ guò jiān suí
火然泉达	huǒ rán quán dá
称孤道寡	chēng gū dào guǎ
道寡称孤	dào guǎ chēng gū
傲睨一世	ào nì yī shì
黑风孽海	hēi fēng niè hǎi
面目可憎	miàn mù kě zēng
大有径庭	dà yǒu jìng tíng
绵言细语	mián yán xì yǔ
约法三章	yuè fǎ sān zhāng
七零八落	qī líng bā luò
泰山梁木	tài shān liáng mù
失道寡助	shī dào guǎ zhù
品而第之	pǐn ér dì zhī
舞弄文墨	wǔ nòng wén mò
舞文弄墨	wǔ wén nòng mò
戴天蹐地	dài tiān jí dì
从俗浮沉	cóng sú fú chén
焕然如新	huàn rán rú xīn
比物连类	bǐ wù lián lèi
连类比物	lián lèi bǐ wù
清灰冷火	qīng huī lěng huǒ
登高履危	dēng gāo lǚ wēi
厚颜无耻	hòu yán wú chǐ
来好息师	lái hǎo xī shī
惊心悼胆	jīng xīn dào dǎn
畏缩不前	wèi suō bù qián
转愁为喜	zhuǎn chóu wéi xǐ
际地蟠天	jì dì pán tiān
能者为师	néng zhě wéi shī
治病救人	zhì bìng jiù rén
伏虎降龙	fú hǔ xiáng lóng
降龙伏虎	xiáng lóng fú hǔ
四海升平	sì hǎi shēng píng
不违农时	bù wéi nóng shí
坚持不渝	jiān chí bù yú
名存实亡	míng cún shí wáng
无服之殇	wú fú zhī shāng
横眉瞪目	héng méi dèng mù
固若金汤	gù ruò jīn tāng
三瓦两巷	sān wǎ liǎng xiàng
堆山积海	duī shān jī hǎi
会者不忙	huì zhě bù máng
正气凛然	zhèng qì lǐn rán
国步艰难	guó bù jiān nán
火尽薪传	huǒ jìn xīn chuán
薪尽火传	xīn jìn huǒ chuán
喝西北风	hē xī běi fēng
凤歌鸾舞	fèng gē luán wǔ
凤舞鸾歌	fèng wǔ luán gē
鸾歌凤舞	luán gē fèng wǔ
师直为壮	shī zhí wéi zhuàng
云起龙骧	yún qǐ lóng xiāng
七张八嘴	qī zhāng bā zuǐ
七嘴八张	qī zuǐ bā zhāng
锦上添花	jǐn shàng tiān huā
终而复始	zhōng ér fù shǐ
若即若离	ruò jì ruò lí
若离若即	ruò lí ruò jí
慧心妙舌	huì xīn miào shé
风驱电击	fēng qū diàn jī
简要不烦	jiǎn yào bù fán
拿云捉月	ná yún zhuō yuè
祝发空门	zhù fā kōng mén
修身洁行	xiū shēn jié xíng
浮云富贵	fú yún fù guì
富贵浮云	fù guì fú yún
为裘为箕	wéi qiú wéi jī
将功折罪	jiāng gōng zhé zuì
改过迁善	gǎi guò qiān shàn
迁善改过	qiān shàn gǎi guò
三差两错	sān chā liǎng cuò
柱小倾大	zhù xiǎo qīng dà
众议成林	zhòng yì chéng lín
谩天昧地	mán tiān mèi dì
昧地谩天	mèi dì mán tiān
民有菜色	mín yǒu cài sè
酒病花愁	jiǔ bìng huā chóu
千辛万苦	qiān xīn wàn kǔ
万苦千辛	wàn kǔ qiān xīn
半斤八面	bàn jīn bā miàn
神流气鬯	shén liú qì chàng
前合后仰	qián hé hòu yǎng
前仰后合	qián yǎng hòu hé
一曝十寒	yī pù shí hán
屏声息气	bǐng shēng xī qì
不差累黍	bù chā lěi shǔ
颜精柳骨	yán jīng liǔ gǔ
一差二误	yī chà èr wù
多言繁称	duō yán fán chēng
放马华阳	fàng mǎ huá yáng
遮天映日	zhē tiān yìng rì
进退中绳	jìn tuì zhōng shéng
攫为己有	jué wéi jǐ yǒu
失精落彩	shī jīng luò cǎi
乱世凶年	luàn shì xiōng nián
断袖之宠	duàn xiù zhī chǒng
强食靡角	qiǎng shí mí jiǎo
求道于盲	qiú dào yú máng
盘龙之癖	pán lóng zhī pǐ
从头到尾	cóng tóu dào wěi
屡教不改	lǚ jiàn bù gǎi
长枕大衾	cháng zhěn dà qīn
以杀止杀	yǐ shā zhǐ shā
贼眉鼠眼	zéi méi shǔ yǎn
令人莫测	lìng rén mò cè
与世沉浮	yú shì chén fú
与世浮沉	yǔ shì fú chén
三复白圭	sān fù bái guī
遁迹空门	dùn jì kōng mén
海水桑田	hǎi shuǐ sāng tián
蜂拥而来	fēng yōng ér lái
八仙过海	bā xiān guò hǎi
捉风捕月	zhuō fēng bǔ yuè
终焉之志	zhōng yān zhī zhì
讳莫高深	huì mò gāo shēn
柔肠百转	róu cháng bǎi zhuǎn
雾散云披	wù sàn yún pī
百废待兴	bǎi fèi dài xīng
自坏长城	zì huài cháng chéng
将机就计	jiāng jī jiù jì
挥戈回日	huī gē huí rì
盲风晦雨	máng fēng huì yǔ
半途而废	bàn tú ér fèi
冰肌玉骨	bīng jī yù gǔ
玉骨冰肌	yù gǔ bīng jī
超然独处	chāo rán dú chǔ
天地诛戮	tiān dì zhū lù
向若而叹	xiàng ruò ér tàn
拜鬼求神	bài guǐ qiú shén
秋水盈盈	qiū shuǐ yíng yíng
盈盈秋水	yíng yíng shuǐ qiū
绿林大盗	lù lín dà dào
井然有序	jǐng rán yǒu xù
积微成著	jī wēi chéng zhù
临危不惧	lín wēi bù jù
燕幕自安	yàn mù zì ān
同床异梦	tóng chuáng yì mèng
黑灯下火	hēi dēng xià huǒ
福寿齐天	fú shòu qí tiān
死眉瞪眼	sǐ méi dèng yǎn
遗形去貌	yí xíng qù mào
得意洋洋	dé yì yáng yáng
洋洋得意	yáng yáng dé yì
纳谏如流	nà jiàn rú liú
暗斗明争	àn dòu míng zhēng
明争暗斗	míng zhēng àn dòu
求仁得仁	qiú rén dé rén
袭人故智	xí rén ɡù zhì
率兽食人	shuài shòu shí rén
电光朝露	diàn guāng zhāo lù
尺兵寸铁	chǐ bīng cùn tiě
寸兵尺铁	cùn bīng chǐ tiě
负才傲物	fù cái ào wù
视死如饴	shì sǐ rú yí
大权在握	dà quán zài wò
千愁万绪	qiān chóu wàn xù
千姿万态	qiān zī wàn tai
九变十化	jiǔ biàn shí huà
确凿不移	què záo bù yí
大庭广众	dà tíng guǎng zhòng
广庭大众	guǎng tíng dà zhòng
斗水活鳞	dòu shuǐ huó lín
进贤达能	jìn xián dá néng
断金零粉	duàn jīn líng fěn
解衣包火	jiě yī bāo huǒ
永垂不朽	yǒng chuí bù xiǔ
千状万端	qiān zhuàng wàn duān
不磷不缁	bù lín bù zī
沧浪老人	cāng láng lǎo rén
望尘而拜	wàng chén ér bài
望眼欲穿	wàng yǎn yù chuān
博学多闻	bó xué duō wén
人亡政息	rén wáng zhèng xī
养虎遗患	yǎng hǔ yí huàn
掩恶扬善	yǎn è yáng shàn
掉臂不顾	diào bì bù gù
光复旧物	guāng fù jiù wù
乐行忧违	lè xíng yōu wéi
长治久安	cháng zhì jiǔ ān
久安长治	jiǔ ān cháng zhì
适俗随时	shì sú suí shí
殊路同归	shū lù tóng guī
一劳永逸	yī láo yǒng yì
退思补过	tuì sī bǔ guò
革面悛心	gé miàn quān xīn
行同狗彘	xíng tóng gǒu zhì
嫣然一笑	yān rán yī xiào
四海鼎沸	sì hǎi dǐng fèi
滴水难消	dī shuǐ nán xiāo
为民除害	wèi mín chú hài
寓意深远	yù yì shēn yuǎn
丰屋之戒	fēng wū zhī jiè
池鱼之殃	chí yú zhī yāng
骨肉未寒	gǔ ròu wèi hán
美人迟暮	měi rén chí mù
设身处地	shè shēn chǔ dì
背恩弃义	bèi ēn qì yì
切齿腐心	qiè chǐ fǔ xīn
委靡不振	wěi mǐ bù zhèn
夫妻反目	fū qī fǎn mù
救时厉俗	jiù shí lì sú
多多益善	duō duō yì shàn
泥车瓦马	ní chē wǎ mǎ
只轮不返	zhī lún bù fǎn
名门世族	míng mén shì zú
指掌可取	zhǐ zhǎng kě qǔ
斗酒百篇	dǒu jiǔ bǎi piān
自取其咎	zì qǔ qí jiù
丰标不凡	fēng biāo bù fán
难乎为继	nán hū wéi jì
应刃而解	yìng rèn ér jiě
玉石俱碎	yù shí jù suì
进贤拔能	jìn xián bá néng
进贤用能	jìn xián yòng néng
慧心巧思	huì xīn qiǎo sī
俯仰随人	fǔ yǎng suí rén
随人俯仰	suí rén fǔ yǎng
甲第连天	jiǎ dì lián tiān
熏天赫地	xūn tiān hè dì
囊空如洗	náng kōng rú xǐ
九江八河	jiǔ jiāng bā hé
希世之珍	xī shì zhī zhēn
十恶五逆	shí è wǔ nì
罚一劝百	fá yī quàn bǎi
心慈面软	xīn cí miàn ruǎn
放虎遗患	fàng hǔ yí huàn
无可比拟	wú kě bǐ nì
后会有期	hòu huì yǒu qī
赏一劝众	shǎng yī quàn zhòng
不识抬举	bù shí tái jǔ
唾手可取	tuò shǒu kě qǔ
出幽升高	chū yōu shēng gāo
魂亡魄失	hún wáng pò shī
亡魂失魄	wáng hún shī hún
魂飞魄丧	hún fēi pò sāng
衣冠礼乐	yī guàn lǐ lè
耸人听闻	sǒng rén tīng wén
变脸变色	biàn liǎn biàn sè
柱天踏地	zhù tiān tà dì
火冒三尺	huǒ mào sān chǐ
东冲西决	dōng chōng xī jué
闭关自守	bì guān zì shǒu
深切著白	shēn qiè zhù bái
一矢双穿	yī shǐ shuāng chuān
贪生畏死	tān shēng wèi sǐ
问柳寻花	wèn liǔ xún huā
寻花问柳	xún huā wèn liǔ
高官重禄	gāo guān zhòng lù
大处着墨	dà chù zhuó mò
止于至善	zhǐ yú zhì shàn
光阴如箭	guāng yīn rú jiàn
变故易常	biàn gǔ yì cháng
茫然若失	máng rán ruò shī
有条不紊	yǒu tiáo bù wěn
柔情密意	róu qíng mì yì
绩学之士	jì xué zhī shì
各尽所能	gè jìn suǒ néng
金科玉条	jīn kē yù tiáo
柔远怀来	róu yuǎn huái lái
了身达命	liǎo shēn dá mìng
一笔勾断	yī bǐ gōu duàn
身遥心迩	shēn yáo xīn ěr
一针一缐	yī zhēn yī yú
随物应机	suí wù yīng jī
釜中游鱼	fǔ zhōng yóu yú
鱼游釜中	yú yóu fǔ zhōng
冷面寒铁	lěng miàn hán tiě
门生故吏	mén shēng gù lì
左右为难	zuǒ yòu wéi nán
体国经野	tǐ guó jīng yě
沁人心肺	qìn rén xīn fèi
震撼人心	zhèn hàn rén xīn
水软山温	shuǐ ruǎn shān wēn
坚甲利兵	jiān jiǎ lì bīng
动静有常	dòng jìng yǒu cháng
白衣宰相	bái yī zǎi xiàng
龙骧虎视	lóng xiāng hǔ shì
干名犯义	gàn míng fàn yì
相形见绌	xiāng xíng jiàn chù
心慈手软	xīn cí shǒu ruǎn
饮恨而终	yǐn hèn ér zhōng
追云逐电	zhuī yún zhú diàn
如山压卵	rú shān yā luǎn
春和景明	chūn hé jǐng míng
高头讲章	gāo tóu jiǎng zhāng
变幻无常	biàn huàn wú cháng
五角六张	wǔ jiǎo liù zhāng
绕梁三日	rǎo liáng sān rì
七了八当	qī le bā dāng
以珠弹雀	yǐ zhū tán què
颠倒是非	diān dǎo shì fēi
是非颠倒	shì fēi diān dǎo
成竹在胸	chéng zhú zài xiōng
挥戈退日	huī gē tuì rì
蒙以养正	méng yǐ yǎng zhèng
整年累月	zhěng nián lèi yuè
革命反正	gé mìng fǎn zhèng
山阴乘兴	shān yīn chéng xīng
厚积薄发	hòu jī bó fā
貌似强大	mào sì qiáng dà
烟消云散	yān xiāo yún sàn
曲尽其妙	qū jìn qí miào
守先待后	shǒu xiān dài hòu
孝子爱日	xiào zǐ ài rì
征敛无度	zhēng liǎn wú dù
大相径庭	dà xiāng jìng tíng
见钱眼开	jiàn qián yǎn kāi
怕鬼有鬼	pà guǐ yǒu guǐ
好善乐施	hào shàn lè shī
乐善好施	lè shàn hào shī
观者如市	guān zhě rú shì
爱日惜力	ài rì xī lì
织楚成门	zhī chǔ chéng mén
心灵性巧	xīn líng xìng qiǎo
千丝万缕	qiān sī wàn lǚ
万缕千丝	wàn lǚ qiān sī
道听途说	dào tīng tú shuō
日暖风恬	rì nuǎn fēng tián
惊世震俗	jīng shì zhèn sú
东郭先生	dōng guō xiān shēng
厉兵粟马	lì bīng sù mǎ
计功量罪	jì gōng liàng zuì
犬牙相错	quǎn yá xiāng cuò
数黄道黑	shu huang dao hei
矜才使气	jīn cái shǐ qì
痛入心脾	tòng rù xīn pí
兵多将广	bīng duō jiàng guǎng
大模大样	dà mó dà yàng
高自标誉	gāo zì biāo yù
喙长三尺	huì cháng sān chǐ
以紫乱朱	yǐ zǐ luàn zhū
履霜之戒	lǚ shuāng zhī jiè
百无聊赖	bǎi wú liáo lài
纸上谈兵	zhǐ shàng tán bīng
浮语虚辞	fú yǔ xū cí
日省月修	rì xǐng yuè xiū
海枯石烂	hǎi kū shí làn
石烂海枯	shí làn hǎi kū
龙骧虎步	lóng xiāng hǔ bù
片文只事	piàn wén zhī shì
趋之若鹜	qū zhī ruò wù
匹马当先	pǐ mǎ dāng xiān
以身许国	yǐ shēng xǔ guó
饮河满腹	yǐn hé mǎn fù
北门南牙	běi mén nán yá
上兵伐谋	shàng bīng fá móu
花花太岁	huā huā tài suì
误人子弟	wù rén zǐ dì
南去北来	nán qù běi lái
牵牛下井	qiān niú xià jǐng
贻笑大方	yí xiào dà fāng
鞍马劳神	ān mǎ láo shén
五月披裘	wǔ yuè pī qiú
雨零星散	yǔ líng xīng sàn
望闻问切	wàng wén wèn qiē
十字街口	shí zì jiē kǒu
瞻情顾意	zhān qíng gù yì
规言矩步	guī yán jǔ bù
以观后效	yǐ guān hòu xiào
一熏一莸	yī xūn yī yóu
依人篱下	yī rén lí xià
恩不放债	ēn bù fàng zhai
着人先鞭	zhuó rén xiān biān
孤恩负义	gū ēn fù yì
恩威并行	ēn wēi bìng xíng
先忧后乐	xiān yōu hòu lè
狗头军师	gǒu tóu jūn shī
闲情逸志	xián qíng yì zhì
晚生后学	wǎn shēng hòu xué
色色俱全	sè sè jù quán
七破八补	qī pò bā bǔ
魂飞魄荡	hún fēi pò dàng
魄荡魂飞	pò dàng hún fēi
自出机杼	zì chū jī zhù
告往知来	gào wǎng zhī lái
相得甚欢	xiāng dé shèn huān
降心俯首	jiàng xīn fǔ shǒu
坚贞不屈	jiān zhēn bù qū
军法从事	jūn fǎ cóng shì
